feature,acc
"['loc', 'mfa', 'cam', 'lcom', 'ca', 'cbo', 'rfc']
","0.774059872404243
"
"['loc', 'mfa', 'cam', 'lcom', 'ca', 'cbo', 'ce']
","0.7710371838129668
"
"['loc', 'mfa', 'cam', 'lcom', 'ca', 'cbo', 'npm']
","0.77546292197279
"
"['loc', 'mfa', 'cam', 'lcom', 'ca', 'cbo', 'lcom3']
","0.7756851953694847
"
"['loc', 'mfa', 'cam', 'lcom', 'ca', 'cbo', 'dam']
","0.7745881799573558
"
"['loc', 'mfa', 'cam', 'lcom', 'ca', 'cbo', 'moa']
","0.7742032634322905
"
"['loc', 'mfa', 'cam', 'lcom', 'ca', 'cbo', 'ic']
","0.7719951838765071
"
"['loc', 'mfa', 'cam', 'lcom', 'ca', 'cbo', 'cbm']
","0.7727575404365135
"
"['loc', 'mfa', 'cam', 'lcom', 'ca', 'cbo', 'amc']
","0.7729722329441637
"
"['loc', 'mfa', 'cam', 'lcom', 'ca', 'cbo', 'max_cc']
","0.7746901934271175
"
"['loc', 'mfa', 'cam', 'lcom', 'ca', 'cbo', 'avg_cc']
","0.7748742500626077
"
"['loc', 'mfa', 'cam', 'lcom', 'ca', 'cbo', 'lcom3', 'dit']
","0.7742382128194093
"
"['loc', 'mfa', 'cam', 'lcom', 'ca', 'cbo', 'lcom3', 'noc']
","0.7755382439702994
"
"['loc', 'mfa', 'cam', 'lcom', 'ca', 'cbo', 'lcom3', 'rfc']
","0.7761495390902879
"
"['loc', 'mfa', 'cam', 'lcom', 'ca', 'cbo', 'lcom3', 'ce']
","0.7751951262778644
"
"['loc', 'mfa', 'cam', 'lcom', 'ca', 'cbo', 'lcom3', 'npm']
","0.778702493335522
"
"['loc', 'mfa', 'cam', 'lcom', 'ca', 'cbo', 'lcom3', 'dam']
","0.7776613000615499
"
"['loc', 'mfa', 'cam', 'lcom', 'ca', 'cbo', 'lcom3', 'moa']
","0.7769255655820058
"
"['loc', 'mfa', 'cam', 'lcom', 'ca', 'cbo', 'lcom3', 'ic']
","0.7744773834733332
"
"['loc', 'mfa', 'cam', 'lcom', 'ca', 'cbo', 'lcom3', 'cbm']
","0.7761342715571642
"
"['loc', 'mfa', 'cam', 'lcom', 'ca', 'cbo', 'lcom3', 'amc']
","0.7755269992576601
"
"['loc', 'mfa', 'cam', 'lcom', 'ca', 'cbo', 'lcom3', 'max_cc']
","0.7771201439288703
"
"['loc', 'mfa', 'cam', 'lcom', 'ca', 'cbo', 'lcom3', 'avg_cc']
","0.7786832693539008
"
"['loc', 'mfa', 'cam', 'lcom', 'ca', 'cbo', 'lcom3', 'npm', 'dit']
","0.7780026635541932
"
"['loc', 'mfa', 'cam', 'lcom', 'ca', 'cbo', 'lcom3', 'npm', 'noc']
","0.7778229430442405
"
"['loc', 'mfa', 'cam', 'lcom', 'ca', 'cbo', 'lcom3', 'npm', 'rfc']
","0.7796020609923252
"
"['loc', 'mfa', 'cam', 'lcom', 'ca', 'cbo', 'lcom3', 'npm', 'ce']
","0.7796310231608302
"
"['loc', 'mfa', 'cam', 'lcom', 'ca', 'cbo', 'lcom3', 'npm', 'dam']
","0.7811490504732614
"
"['loc', 'mfa', 'cam', 'lcom', 'ca', 'cbo', 'lcom3', 'npm', 'moa']
","0.7804365282837832
"
"['loc', 'mfa', 'cam', 'lcom', 'ca', 'cbo', 'lcom3', 'npm', 'ic']
","0.7776822542545212
"
"['loc', 'mfa', 'cam', 'lcom', 'ca', 'cbo', 'lcom3', 'npm', 'cbm']
","0.7790864907802527
"
"['loc', 'mfa', 'cam', 'lcom', 'ca', 'cbo', 'lcom3', 'npm', 'amc']
","0.7795578789968447
"
"['loc', 'mfa', 'cam', 'lcom', 'ca', 'cbo', 'lcom3', 'npm', 'max_cc']
","0.7811217039184706
"
"['loc', 'mfa', 'cam', 'lcom', 'ca', 'cbo', 'lcom3', 'npm', 'avg_cc']
","0.7817105512795004
"
"['loc', 'mfa', 'cam', 'lcom', 'ca', 'cbo', 'lcom3', 'npm', 'avg_cc', 'dit']
","0.7805061891308839
"
"['loc', 'mfa', 'cam', 'lcom', 'ca', 'cbo', 'lcom3', 'npm', 'avg_cc', 'noc']
","0.7811599403157207
"
"['loc', 'mfa', 'cam', 'lcom', 'ca', 'cbo', 'lcom3', 'npm', 'avg_cc', 'rfc']
","0.7822121246996456
"
"['loc', 'mfa', 'cam', 'lcom', 'ca', 'cbo', 'lcom3', 'npm', 'avg_cc', 'ce']
","0.7809013589032899
"
"['loc', 'mfa', 'cam', 'lcom', 'ca', 'cbo', 'lcom3', 'npm', 'avg_cc', 'dam']
","0.7836319808893764
"
"['loc', 'mfa', 'cam', 'lcom', 'ca', 'cbo', 'lcom3', 'npm', 'avg_cc', 'moa']
","0.7835789701767025
"
"['loc', 'mfa', 'cam', 'lcom', 'ca', 'cbo', 'lcom3', 'npm', 'avg_cc', 'ic']
","0.7820792207222507
"
"['loc', 'mfa', 'cam', 'lcom', 'ca', 'cbo', 'lcom3', 'npm', 'avg_cc', 'cbm']
","0.7818705798845367
"
"['loc', 'mfa', 'cam', 'lcom', 'ca', 'cbo', 'lcom3', 'npm', 'avg_cc', 'amc']
","0.781865972128033
"
"['loc', 'mfa', 'cam', 'lcom', 'ca', 'cbo', 'lcom3', 'npm', 'avg_cc', 'max_cc']
","0.78176495040762
"
"['loc', 'mfa', 'cam', 'lcom', 'ca', 'cbo', 'lcom3', 'npm', 'avg_cc', 'dam', 'dit']
","0.7831899431705278
"
"['loc', 'mfa', 'cam', 'lcom', 'ca', 'cbo', 'lcom3', 'npm', 'avg_cc', 'dam', 'noc']
","0.7832758884333959
"
"['loc', 'mfa', 'cam', 'lcom', 'ca', 'cbo', 'lcom3', 'npm', 'avg_cc', 'dam', 'rfc']
","0.7840281241269842
"
"['loc', 'mfa', 'cam', 'lcom', 'ca', 'cbo', 'lcom3', 'npm', 'avg_cc', 'dam', 'ce']
","0.7829881534275891
"
"['loc', 'mfa', 'cam', 'lcom', 'ca', 'cbo', 'lcom3', 'npm', 'avg_cc', 'dam', 'moa']
","0.7847569727553866
"
"['loc', 'mfa', 'cam', 'lcom', 'ca', 'cbo', 'lcom3', 'npm', 'avg_cc', 'dam', 'ic']
","0.7835418392132611
"
"['loc', 'mfa', 'cam', 'lcom', 'ca', 'cbo', 'lcom3', 'npm', 'avg_cc', 'dam', 'cbm']
","0.7836398000617294
"
"['loc', 'mfa', 'cam', 'lcom', 'ca', 'cbo', 'lcom3', 'npm', 'avg_cc', 'dam', 'amc']
","0.7835607986924542
"
"['loc', 'mfa', 'cam', 'lcom', 'ca', 'cbo', 'lcom3', 'npm', 'avg_cc', 'dam', 'max_cc']
","0.7831608257448905
"
"['loc', 'mfa', 'cam', 'lcom', 'ca', 'cbo', 'lcom3', 'npm', 'avg_cc', 'dam', 'moa', 'dit']
","0.7850272688651094
"
"['loc', 'mfa', 'cam', 'lcom', 'ca', 'cbo', 'lcom3', 'npm', 'avg_cc', 'dam', 'moa', 'noc']
","0.7840849960620444
"
"['loc', 'mfa', 'cam', 'lcom', 'ca', 'cbo', 'lcom3', 'npm', 'avg_cc', 'dam', 'moa', 'rfc']
","0.7846008975903622
"
"['loc', 'mfa', 'cam', 'lcom', 'ca', 'cbo', 'lcom3', 'npm', 'avg_cc', 'dam', 'moa', 'ce']
","0.784254036794727
"
"['loc', 'mfa', 'cam', 'lcom', 'ca', 'cbo', 'lcom3', 'npm', 'avg_cc', 'dam', 'moa', 'ic']
","0.78358219100769
"
"['loc', 'mfa', 'cam', 'lcom', 'ca', 'cbo', 'lcom3', 'npm', 'avg_cc', 'dam', 'moa', 'cbm']
","0.7850113394644319
"
"['loc', 'mfa', 'cam', 'lcom', 'ca', 'cbo', 'lcom3', 'npm', 'avg_cc', 'dam', 'moa', 'amc']
","0.7846727513391579
"
"['loc', 'mfa', 'cam', 'lcom', 'ca', 'cbo', 'lcom3', 'npm', 'avg_cc', 'dam', 'moa', 'max_cc']
","0.7842600075886101
"
"['loc', 'mfa', 'cam', 'lcom', 'ca', 'cbo', 'lcom3', 'npm', 'avg_cc', 'dam', 'moa', 'dit', 'noc']
","0.7844486366337247
"
"['loc', 'mfa', 'cam', 'lcom', 'ca', 'cbo', 'lcom3', 'npm', 'avg_cc', 'dam', 'moa', 'dit', 'rfc']
","0.7852153548213843
"
"['loc', 'mfa', 'cam', 'lcom', 'ca', 'cbo', 'lcom3', 'npm', 'avg_cc', 'dam', 'moa', 'dit', 'ce']
","0.783268078334212
"
"['loc', 'mfa', 'cam', 'lcom', 'ca', 'cbo', 'lcom3', 'npm', 'avg_cc', 'dam', 'moa', 'dit', 'ic']
","0.7845401711551296
"
"['loc', 'mfa', 'cam', 'lcom', 'ca', 'cbo', 'lcom3', 'npm', 'avg_cc', 'dam', 'moa', 'dit', 'cbm']
","0.7849313424778502
"
"['loc', 'mfa', 'cam', 'lcom', 'ca', 'cbo', 'lcom3', 'npm', 'avg_cc', 'dam', 'moa', 'dit', 'amc']
","0.7850353413352392
"
"['loc', 'mfa', 'cam', 'lcom', 'ca', 'cbo', 'lcom3', 'npm', 'avg_cc', 'dam', 'moa', 'dit', 'max_cc']
","0.7846133686103908
"
"['dam']
","0.569670776616177
"
"['dit']
","0.5624319094806574
"
"['ca']
","0.5586509003002513
"
"['lcom']
","0.6112061457567848
"
"['rfc']
","0.643620558832876
"
"['cbm']
","0.5488264529602411
"
"['amc']
","0.6567674379554089
"
"['moa']
","0.5523920611684197
"
"['cbo']
","0.6106008000326378
"
"['ce']
","0.6033162457193487
"
"['noc']
","0.5168487319550333
"
"['npm']
","0.6128061230482212
"
"['loc']
","0.6663103477154404
"
"['cam']
","0.6443827328141626
"
"['avg_cc']
","0.6288464412456856
"
"['max_cc']
","0.6115214256992518
"
"['mfa']
","0.6250700161480154
"
"['lcom3']
","0.6119598888881943
"
"['ic']
","0.5403612058183909
"
"['cbo', 'lcom']
","0.6715253297915298
"
"['cbo', 'cbm']
","0.6437102081543145
"
"['dit', 'cam']
","0.6698889510129182
"
"['cbm', 'amc']
","0.6732840162262893
"
"['cam', 'ic']
","0.6589995513047485
"
"['loc', 'mfa']
","0.7117291817057029
"
"['dit', 'avg_cc']
","0.647768967515501
"
"['rfc', 'dam']
","0.6523126553068122
"
"['dam', 'ic']
","0.5972414862936133
"
"['cbo', 'npm']
","0.6731682579566364
"
"['cbo', 'loc']
","0.6935565873773821
"
"['ca', 'dam']
","0.6038424582019244
"
"['amc', 'avg_cc']
","0.6941954308974405
"
"['ic', 'max_cc']
","0.6209802628103167
"
"['dit', 'ic']
","0.5769768718448627
"
"['rfc', 'lcom']
","0.6899658957240975
"
"['moa', 'amc']
","0.6815096459626098
"
"['cbo', 'mfa']
","0.684613057404199
"
"['ca', 'cbm']
","0.5939721197681879
"
"['rfc', 'amc']
","0.6979293178057221
"
"['lcom', 'ca']
","0.6293983577165709
"
"['cbo', 'lcom3']
","0.6764639561727372
"
"['moa', 'cam']
","0.6499495926947747
"
"['ca', 'amc']
","0.6853937620177465
"
"['rfc', 'ce']
","0.6771491514028598
"
"['noc', 'lcom']
","0.6137473125314133
"
"['dit', 'dam']
","0.608817357467689
"
"['cam', 'cbm']
","0.66296752147188
"
"['ca', 'npm']
","0.6379635981844105
"
